staroplaninskilegendi_01_yovkov_0000|Старопланински легенди от Юрдан Йовков
staroplaninskilegendi_03_yovkov_0103|После изведнъж избухна. Господ да го порази! Чумата да го тръшня тоз поганец! Почерни ми момичето! Почерни го!
staroplaninskilegendi_03_yovkov_0104|Разбирате ли я? Как ще я разбираме, драгота? Нито я пуща да дойде у нас, нито нас припуща да отидем при нея. Ето го тоя. Тя посочи с глава на най-малкия си десет годишен син. Само не го оставя да отиде при нея. Ако го пратим, ще разберем нещо за нея. Ех, здрава е, жива е, добре я държал. Да му опустее доброто.
staroplaninskilegendi_03_yovkov_0105|Друга вяра е. Това е най-лошото, каза Драгота. Отец Амфилохий често казваше за нея. Тя е, каже, загубена овца. Овчарят трябва пак да си я прибере. А той беше свят човек, Бог да го прости.
staroplaninskilegendi_03_yovkov_0106|и като повдигна за първ път очи и погледна към небето, драгота се прекръсти три пъти подред. Марга не го разбра.
staroplaninskilegendi_03_yovkov_0107|Няма го добрия старец вече, няма го! Каза драгот и въздъхна.
staroplaninskilegendi_03_yovkov_0108|И той разказа за голямата напаст, която беше постигнала манастирия, за трагичната кончина на отца Амфилохия, за пороганата черква, за иконите с избодени очи.
staroplaninskilegendi_03_yovkov_0109|Той повдигна очи и погледна наоколо си.
staroplaninskilegendi_03_yovkov_0110|Нищо не беше побутнато, нито в къщи, нито в двора на Димчуки Хая.
staroplaninskilegendi_03_yovkov_0111|Шарамполът и бойниците бяха запазили селото. Това я доса пак Драгота и на место да отговаря на любопитните запитвания на Марга, рече строго. Ранка трябва да се спаси, той знам аз. Тъй заръча и отецъм Филохии. А отецъм Филохии е светец и сега седи отдясно на отца. Драгота пак се прекръсти три пъти. И заръчаното от него е заръчано от Бога.
staroplaninskilegendi_03_yovkov_0112|Очите на Марга почнаха да стават големи. Тя притихна, гласа ти омекна. Изпод сключените си вежди драгота внимателно я следеше.
staroplaninskilegendi_03_yovkov_0113|Отецът Филохи и често говореше за Ранка, каза той, и вярваше, че тя ще се спаси. Кой знай, може да е видял сън, може да му е било казано свише. И нали рекох, тъй заръча. Какво заръча, Драгота? Да се погрежим за нея, да я спасим. Да я спасим, Драгота, белки ма, аз не искам. Ох, да можеше само, кажи ми, научи ме как. Нека го искаме и Бог ще ни помогне, каза тайно.
staroplaninskilegendi_03_yovkov_0114|Повече те не говориха, но по всичко, както го гостиха, в каквато стая го заведоха да преспи, драгота разбра голямото внимание, с което вече го обграждаше Марга. Той беше доволен, изправи се пред иконостаса и започна да се кръсти. Тък му в тая минута Марга надникна да види дали не му липсва нещо, но като го видя, че се моли, притвори вратата и се отдаличи напрасти.
staroplaninskilegendi_03_yovkov_0115|Сутринта, драгота повика Марга. Изглеждаше съсредоточен и твърдо решен на нещо.
staroplaninskilegendi_03_yovkov_0116|Ти каза, рече той, че оня поганеца само детето пуща при нея. Марга Кимна с глава.
staroplaninskilegendi_03_yovkov_0117|Още сега ще го пратиш при нея. Взими тая книга. Аз съм написал там нещо и скрия в дрехите на детето, но тъйче да може да се намери само ако се съблече голо. И то да не знае нищо. Кажи му да рече на ранка. Мама заръча да ме окъпиш. Тя ще го съблече и ще намери писмото. Толкоз. Другото си е моя работа.
staroplaninskilegendi_03_yovkov_0118|Неотстъпчивата други път Марга сега се съгласи, взе надребно нагънатото писмо и направи всичко както искаше драгота. Момчето беше стегнато, пременено, качиха го на кони с един слуга го изпратиха още същия част към конаците на Хаджи Емин.
staroplaninskilegendi_03_yovkov_0119|Тогава чак драгота си взе с богом, прекръсти се и тръгна след тях, но вече по други път.
staroplaninskilegendi_03_yovkov_0120|С върталището на Косана бяха дълбоките осои и високите поляни по билото на планината, където всички овчари бяха негови верни по братими. Но понякога, дали защото му омразваха планинските почтинаци, дали защото омразата му към Хаджи Ямин го влечеше към конаците му в Есерли, той слизаше от планината и се появяваше из селата в полето.
staroplaninskilegendi_03_yovkov_0121|Смел беше Косан и слеко сърце си играеше с щастието, което не веднъж беше го спасявало. Но веднъж, тък му когато се мислеше най-сигурен, видя се подгонен от потеря. Гората беше наблизо, той щеше да влезе в нея, но тя беше наравно, все пак можеше да бъде обградена и притърсена. Тогава той с тая бързина, с която беше навикнал да решава в минута на голяма опасност, влезе в гората, но не продължи да върви по същата посока.
staroplaninskilegendi_03_yovkov_0122|Косани той път беше спасен.
staroplaninskilegendi_03_yovkov_0123|Мръкна се и по пътейки, които само той познаваше, Косан вървеше из гората. Беше тъмно. Повял беше първият студен вятър. Гората шумеше и сипеше сухи листа.
staroplaninskilegendi_03_yovkov_0124|На едно място в тъмнината, през черните клони на дърветата светна огън. Косан позна, че е близо до клепалото, но той знаеше, че манастирът е напуснати само преди няколко деня, когато беше минал през него бурсуци и диви котки бяха се разбягали отпред ему.
staroplaninskilegendi_03_yovkov_0125|Един прозорец светеше сега долу, където бяха калугирските килии. Някой от братите ли беше се върнал или закъснял пътник беше се прислонил?
staroplaninskilegendi_03_yovkov_0126|Косан задебна в тъмнината между клоните и хресталаците, плъзна се покрай стената и стигна до осветение прозорец. Той се повдигна и погледна.
staroplaninskilegendi_03_yovkov_0127|Видя голям огън, видя срещу него човек с голяма коса и плавнали очи и позна драгота.
staroplaninskilegendi_03_yovkov_0128|Но това що е? Коя е тая жена, тая туркиня с късо сърмено елече и отлазени шалвари с две дебели плитки коси, спуснати отпред пред раменете, снани с отрубета по средата на челото? И тия жълтици горяха от огъня, и лицето ѝ беше бяло, очите черни, веждите тънки, и тя гледаше без страх, драгота, и без страх говореше с него, с драгота, който косматинавъсен приличаше на някои таласъм, излязъл от горната.
staroplaninskilegendi_03_yovkov_0129|Здрава глава имаше косан, но стори му се, че вижда сън. Отмести се и потърка с ръка челото си. После пак погледна. И позна, че тая жена не беше друга, а ранка. Не знаеше как е дошла тука. Не разбираше нищо.
staroplaninskilegendi_03_yovkov_0130|Но като се вгледа добре в драгота, разбра какво значеше огънят, който светеше в очите му. Не повика, не се обади, наблегна на вратата със страшната си сила и отхвърли пред себе си.
staroplaninskilegendi_03_yovkov_0131|той влезе и огънят го угря. Широки четвъртити плещи, глава на лъв, на пояса му блеснаха главите на пищови.
staroplaninskilegendi_03_yovkov_0132|Ранка изпища. Драгота с листъм пристъпи две крачки напред.
staroplaninskilegendi_03_yovkov_0133|Какво искаш, изманка той? Не може, тук не може, хора има тук.
staroplaninskilegendi_03_yovkov_0134|А аз мечка ли съм? – рече Косан. – Ах, Косан! Косан! – викаше Ранка. – Божичко, как ме оплаши! – Аз съм Ранки. – Какво има? Що ще еш тука?
staroplaninskilegendi_03_yovkov_0135|И без да обръща внимание на Калугира, Косан беше вече при Ранка, усмихваше се. Слушаше я, залени той и тя от светлината на огъня. С малко думи, като преживяваше отново всички страхове, Ранка му разказа за бягството си. Драгота беше я спасил.
staroplaninskilegendi_03_yovkov_0136|Само, че сега трябвало да бъдат вкъщи, а Драгота я превел през манастиря, като й казал, че от тука било по-близо.
staroplaninskilegendi_03_yovkov_0137|Поблизо от тук, рече Косан, не е право, лъже. И без да погледне драгота той седна при рънка.
staroplaninskilegendi_03_yovkov_0138|Ех, Ранки, кой е мислил, че ще се срещнем? И сега, тая вечер, мене ме гони потеря. Ама нищо.
staroplaninskilegendi_03_yovkov_0139|— Гони Депутерия! — извика Драгота и дойде при Косана. — Човече, бягай оттука! Иди си! Иди си, ще ни погубиш! По-пе стой мирно! Рече Косани пренебрежително го бутна с ръка. Не викай! Ако дойде Депутерия, страшно е и за мене, и за тебе! — Човече, ще ни погубиш! — викаше Драгота. — Иди си! Иди си по-скоро!
staroplaninskilegendi_03_yovkov_0140|Косан го изгледа с твърдите си очи, помълча и рече. — Слушай, попли си или дявол не искам да те зная. Да се махнеш от очите ми. Иди и кажи на Димчък и Хая, че Косан ще доведе дъщеря му. Кажи на Марга. Кажи ако искаше на Хаджи Емин да дойде да я вземе. Хайде, върви!
staroplaninskilegendi_03_yovkov_0141|И той сложи тежката си ръка върху шията на Драгота и го затласна към вратата. Ранка изпища. Косан видя отблизо очите й. Тежките й плитки се разлюляха пред него. Той пусна Драгота и се повърна. На Бога служиш, а? Извика той. Зная те аз тебе. Зная какво беше намислил да правиш, ама това няма да стане. Не, Косан е тук.
staroplaninskilegendi_03_yovkov_0142|Претия домиранка трепна.
staroplaninskilegendi_03_yovkov_0143|Много неща й станаха ясни, едвам сега тя разбра голямата опасност, която я заплашваше. Сама, сред тая гора, между тия страшни мъже.
staroplaninskilegendi_03_yovkov_0144|Все пак повече си боеше от дръгота, отколкото от косана.
staroplaninskilegendi_03_yovkov_0145|Тя седна пак при Огъня, седна при Нея и кусан.
staroplaninskilegendi_03_yovkov_0146|Той не поглеждаше вече драгота. За него драгота като че не съществуваше. И ставаше по-весел, приказваше на ранка, по-близо сядаше до нея и по-отблизо гледаше очите й. Настрана стоеше драгота и го гледаше изпод страшните си вежди. Сянката му, голяма и черна, стоеше наред с него до стената.
staroplaninskilegendi_03_yovkov_0147|Колко време беше се минало, никой не знаеше. Косано сети, че някой беше дошъл зад него и се обърна. Беше драгота.
staroplaninskilegendi_03_yovkov_0148|Друг да беше, би се оплашил от погледа му. Но Косан се засмя и както по-рано нехайно го бутна назад с ръка.
staroplaninskilegendi_03_yovkov_0149|Всякъж звяр изрева и драгота се хвърли върху косана, впират се в шията му. Но кора вбеше хайдутинът, извисе и прихва на драгота. И почна се борба страшна, яростна и бясна. Двамата мъже се вкопчваха един в други, ставаха и падаха, събаряха всичко около себе си, ръмжаха, дишаха тежко.
staroplaninskilegendi_03_yovkov_0150|Ранка избяга навън.
staroplaninskilegendi_03_yovkov_0151|Тя претърча през двора, но срещна тъмнината на гората, оплаше се и се повърна. Зачупи ръце. Заплака.
staroplaninskilegendi_03_yovkov_0152|Погледна през вратата. Лицето на Калугира беше цяло в кръв, но в ръката му лъсна нож. Огънят беше разпилян. Гореше вече стаята. Обезумяла от страх, Ранка помисли пак да бяга.
staroplaninskilegendi_03_yovkov_0153|Светлината, която заливаше двора, тя съгледа желязното клепало, овиснало на чердака. Тя се спусна, грабна железния чук и започна да удре по него. Бързи, тревожни звуци забягаха към тъмнината на гората, сподирени от искри и дим. Манастирят вече гореше. Ранга чувстваше, че ръката й отмалява, но продължаваше да удре клепалото.
staroplaninskilegendi_03_yovkov_0154|Чу се звънна копита по камените плочи и тя се обърна.
staroplaninskilegendi_03_yovkov_0155|Сияните на пожара, като по бял ден се показаха джиемин на белия си кон.
staroplaninskilegendi_03_yovkov_0156|Той слезе и първото нещо, което направи бе да съблече дрехата си и да я хвърли върху ранка.
staroplaninskilegendi_03_yovkov_0157|Никой не трябваше да види лицето на жена му. Дворът се изпълни с конници. Това беше цялата потеря, което преследваше Косана. Смаяни от пожара, смаяни още повече, че виждат ранка, която, макар и заболена, познаха веднага, те се тълпяха гъсто един зад друг и сиянето на пожара грееше в зениците на очите им, заливаше лицата им на страхналите им коне.
staroplaninskilegendi_03_yovkov_0158|Отвесно и право стърчаха дълги пики, плащяха криви саби. И всички гледаха към султана и чакаха какво ще каже. А султанът стоеше до ранка, загърната в жълтата му отлазена дреха, понавеждаше се към нея и даваше охона на това, което тя ниско му говореше.
staroplaninskilegendi_03_yovkov_0159|После той се изправи и даде някаква заповед. Два мъдуши скочеха от конете си, минаха през сиянието на пламъците, изгубиха се в дима и влязоха в килията, където бяха косани драгота.
staroplaninskilegendi_03_yovkov_0160|Извадиха двама мъже, полуобгорени, кървави, мъртви, но още вкопчени един в друг.
staroplaninskilegendi_03_yovkov_0161|Разделиха ги и ги простряха върху камените плочи на двора. С мъжествени и тежки стъпки султанът отиде при тях. Спря се най-напред при драгота, но лицето му се сбърча от отвращение, ритна го с крак и го отмина.
staroplaninskilegendi_03_yovkov_0162|Отиде и се спрена трупа на Косана. Сиянието на пожара го огряваше.
staroplaninskilegendi_03_yovkov_0163|Без върхната си дреха Хаджи емини изглеждаше още по-тънък и по-строен. Отпред на зелената му чалма старчеше пълно в оперо.
staroplaninskilegendi_03_yovkov_0164|И като прихвана, както му беше обичай, с ръка червеникавата си брада, той се понаведе и се загледа в коса на, все тъй голям и страшен, какъвто беше и приживе.
staroplaninskilegendi_03_yovkov_0165|и дълго стоя над него замислен.
staroplaninskilegendi_03_yovkov_0166|Минаха се повече от двайсет години. На мястото, гдето беше клепало топоник на Бурен и Куприва. Никой не помисли вече да отнема ранка от ръцете на Хаджи Емин. Никъде не я пущаше. Никой не можеше да я види. Умря бащай. Султанът не се смели и не я пусна. Минаха още няколко години. Помина се и Марга. Всякаш някой вековен дъп се строполи и падна. Заговориха за покойната всички. Запомнил я бе и Хаджи Емин.
staroplaninskilegendi_03_yovkov_0167|Той спрати с нея двамата си сина, родени от нея, двама снажни, яки момци.
staroplaninskilegendi_03_yovkov_0168|Единът вървеше от едната страна на майка си, другия от другата.
staroplaninskilegendi_03_yovkov_0169|Тебя ханай верната и стража.
staroplaninskilegendi_03_yovkov_0170|Край на най-верната стража.
staroplaninskilegendi_04_yovkov_0000|Божура от Старопланински легенди на Йордан Йовков. Записано за LibriVox.org. Записът е обществено достояние.
staroplaninskilegendi_04_yovkov_0001|Ова я, че шмана Хаджи Влъка, син Пенов, беше о лето 1783.
staroplaninskilegendi_04_yovkov_0002|Надписният начишма.
staroplaninskilegendi_04_yovkov_0003|Калуда циганката продаваше древни неща, които повече й служиха да прикрива с тях просията си – бяла и червена пръст, хума, сухи дренки, вратена.
staroplaninskilegendi_04_yovkov_0004|Всичко това се продаваше мъчно. Жените се пазаряха, даваха малко, а някои съвсем не купуваха. Но старата циганка беше забелязала, че работите отиват по-добре, ако с нея биваше и дъщеря, и божура.
staroplaninskilegendi_04_yovkov_0005|Когато Божора беше малка и ако беше студено, зъзнеше с целото си тяло, тъй както майка и беше я научила, жените се показваха трогнати. Същност под това съжаление се криеше очудването им, че това хубаво дете може да бъде на една циганка. Но Божора сега беше мума. Големите черни очи на предишното си морничево циганче гледаха дръско, дяволито, снагата й беше се източила, тънка, гъвкава, разцъфнала като дива шипка.
staroplaninskilegendi_04_yovkov_0006|А Божура като че пощуряваше, очите й светеха, снагата й не чувстваше тежеста на дрехите. Жизнерадостна като овошките, пияна от слънцето, като пчелите, които бръмчаха около цвета на ябълките. Те тичаше по съседните къщи, размиваше старците, играеше с децата, влачеше след себе си въздишките и запалените погледи на младите цигани.
staroplaninskilegendi_04_yovkov_0007|Не помагаха нито молбите, нито заплашванията на Калуда. Вдигаше се кавга, каквато можеше да се чуе само в една циганска къща. И ако най-после майка й можеше да я придума, това най-често ставаше като й обещаеше, че ще идат охаджи вълкови.
staroplaninskilegendi_04_yovkov_0008|Божоро обичаше да отида в тая къща.
staroplaninskilegendi_04_yovkov_0009|Когато беше малка и заловена за роклята на майка си, влизаше в широкия двор, обграден с високи довари, очите й се оголемяваха, чудеше се на старите чимшири, на асмата, на босилика, поникнал между каменните плочи. А когато срещу някой празник се случаше да я изнесе на цялата покъщина навън, тогава ярките буйни килимите и губерите, сърмата и атлазът на скъпите премени, всичкото това богатство я замайваше.
staroplaninskilegendi_04_yovkov_0010|И все пак тя най-много се чудаше на пембените вейки на Божи-гробската върба, това чудно дърво, което само Хаджи Вълко имаше в двора си. Сега Божура влизаше в двора на Хаджи Вълка весела и спокойна и не поглеждаше нито чимширите, нито Божи-гробската върба. Тя идваше тук зарад Ганаила, дъщерята на Хаджи Вълка. И ако съзнанието за хубостта си, което имаше, я караше да гледа на всички други жени с пренебрежение и отвисоко, при Ганаила и сеструваше, че иде като прирав
staroplaninskilegendi_04_yovkov_0011|Божура я смяташе за най-хубавата мума. Чудно й беше само защо Ганаила не се гордееше с хубостта си, като че не я забелязваше. Тя работеше, а изглеждаше отпусната и ленива. И без да се грижи за себе си, без да иска, разхубавяваше от ден на ден, понапълняваше, снегата изрееше и се наливаше като плод.
staroplaninskilegendi_04_yovkov_0012|Не можеше да се каже, че Божора я обича. Божора не обичаше никого и към нищо не можеше трайно да се привърже. Но у Ганаила тя виждаше всичко, което сама тя нямаше, а искаше да има. Харесваше бялата й като мляко кожа, русите й коси. Чудеше се на тая чиста, благоуханна плът спотаяна в меките гънки на куприната. И ако всичко това беше нещо, което можеше да се открадне, тя би го откраднала на драго сърце.
staroplaninskilegendi_04_yovkov_0013|Понякога тя се заглеждаше в ганаила. Гледаше авторачено и лукаво, но в същото време въздоржено и занесено, както дивакът гледа из тукана си. Очите й горяха. Мълчеше. После, предпъзливо, като че се боеше да ни причини болка, гладаше с коравите си пръсти бялата и заголена долакът ръка и шепнеше. Каква си ма? Бяла, бяла. Каква си хубава.
staroplaninskilegendi_04_yovkov_0014|Ганила се смеща.
staroplaninskilegendi_04_yovkov_0015|А Божура си беше цигънка и той е избликна искрена нежност не искаше да отиде тук у тъй. Изпросваше си някоя стъкле на гривна, някоя износена дреха. И тъй като с милостта й растеше, откъсваше си сама най-хубавия карамфил и накичена с него оглеждаше се наедно с ганейла в стъклото на прозореца.
staroplaninskilegendi_04_yovkov_0016|В това време Хаджи Вълковица се потъкмяваше с калуда. И още с гребачев ръка, с който си беше изнесла брашно, старата жена поглеждаше двете момичета със своя кротък, извиращо дълбоко поглед и се усмихваше. Вън беше и Хаджи Вълко, висок, побелял, важен като цар. Той наглеждаше дилгерите, които копаяха в двора и слагаха червени кюнци. Хаджи Вълко правеше чешма в двора си. Едничкото нещо, което още липсваше на славата му.
staroplaninskilegendi_04_yovkov_0017|Едно нещо не можеше да разбере Божура. Хубава беше Ганаила, но защо от толкова време на сам тя връщаше всички, които бяха дохождали да я искат? Кого чекаше Ганаила? За кого се надяваше?
staroplaninskilegendi_04_yovkov_0018|Божура ходеше из цяло село, знаеше всички клюки, всички сплетни. Знаеше какво говори за Ганаила, за кого е такмет. Тя разбираше тие тайни, радваше им се като че се отнасяха за нея. И когато някой ден дохождаше и спрекажаше всичко на Ганаила, струваше и се, че са я ограбили. Замълчаваше и чакаше да види какво поне ще каже Ганаила.
staroplaninskilegendi_04_yovkov_0019|Но дъщерата на Хаджи Вълка оставаше все те отпусната и равнодушна, каквато си беше винаги. Тогава очите на циганката пламваха от страшна омраза. Една хилядна частица само от това, което беше и казала, можеше да направи самата нея частита. А тая бяла кукла като че ли имаше в градите си не сърце, а камък.
staroplaninskilegendi_04_yovkov_0020|Веднъж, над вечер, Божора и Майка й се връщаха от гората. От към противоположния край на селото, отвъд къщите, по пътя който излизаше иззад баиря и сечеше зелената поляна под кориите, се показаха два маконника.
staroplaninskilegendi_04_yovkov_0021|Бяло облаче дим се появи над тях, чу се гармеж. Кониците като че се плъзгаха към селото, още две бели облачета се появиха над тях и урвите при старче повториха други два гармежа. По стар обичай, пътниците обаждаха с гармежи, че си идат.
staroplaninskilegendi_04_yovkov_0022|Само това си помислиха майката и дъщерята и го забравиха, уморени от пъти от тежката пръст, с която бяха задянати.
staroplaninskilegendi_04_yovkov_0023|Когато влязоха в село, беше вече тъмно и първото нещо, което забелязаха беше, че по всички порти бяха неизлезли жени. Калуда вървеше напред, не обръщаше внимание на жените и ако поглеждаше наляво и надясно, гледаше да види дали не е забравено някъде нещо, за да го пъхне под престилката си.
staroplaninskilegendi_04_yovkov_0024|Поназад след нея идеше Божура. Товарът й ни най-малко нея превиваше, снагата й се оставаше права и гъвкава, като стълбица на вихрушка.
staroplaninskilegendi_04_yovkov_0025|Беше вече тъмно, но очите й от време на време проблясваха. Цялата сюрия дичурли гатичаха подирне и викаха, Божуро, Божуро, дай ни Божур, Божуро! Хайде, бре! Викаше тя весело и без да се сърди. Отде ще ви взема Божур?
staroplaninskilegendi_04_yovkov_0026|И като оставяше децата да си викат колкото си щат, тя се спираше в тъмнината и слушаше какво приказват жените.
staroplaninskilegendi_04_yovkov_0027|На едно място тя чу, че споменават все едно и също име – Василчо. На друго приказваха пак за тоя Василча, изреждаха роднините му, богатствата му. На трето, освен Василча споменаваха и името на Ганаила – Божура Дадеохо.
staroplaninskilegendi_04_yovkov_0028|Няма да го бъде, не! Говореше една и божура позна жечевица, тая, която винаги носеше голям здравец на ръченика си и много знаеше. Няма да го бъде, помнете ми думата. Не другия хаджи вълчо ще даде дъщеря си на того спиение, Василча.
staroplaninskilegendi_04_yovkov_0029|Любопитството на Божора растеше.
staroplaninskilegendi_04_yovkov_0030|Като преминаваше от една купче на жени на друга, все скрита в тъмнината на стрехите, тя неочаквано се узова при Бончо Вияхан. Ярка, жълта светлина излизаше от прозорците и от вратата и цепеше тъмнината на две. Два маконника стояха там и то се губяха в мрака, то излизаха на светло. Божура се притаи до Довара. Ко е Василчо? Не ще да е той въз стар човек, когато виждаше сега.
staroplaninskilegendi_04_yovkov_0031|Но ето в мрака се разигра кон. Зазвъниха подкови по калдарама и сред светлината се показа други конник. Черен, разлютени лъснат от под беше конят му, разпуснал тежка грива. Сам той беше млад, левент, с розперчен поднакривения кълпак, с развени чепкени отзад.
staroplaninskilegendi_04_yovkov_0032|Ето той беше Василчо. Той вдигна голяма чаша, пи и колкото остана изляго върху гривата на коня.
staroplaninskilegendi_04_yovkov_0033|Божора чуках сърцето и долепено до камъните надоваря чукаше. Разиграха се пак конете то в тъмното, то на светлото, завиха и препуснаха нагоре из улицата.
staroplaninskilegendi_04_yovkov_0034|Под копитета им заизхвърчаха изкри.
staroplaninskilegendi_04_yovkov_0035|Божура гледаше след тях залепена задовара.
staroplaninskilegendi_04_yovkov_0036|Ето кого чака Лаганаила, помисли се тя и о мразата и към хаджи Вълковата дъщеря избухна с всичката си сила.
staroplaninskilegendi_04_yovkov_0037|На тоз час тя си спомни думите на Жечевица. Хаджи Вълко нямаше да даде дъщеря си на тоя пиение Василча. Това я зарадва. Отлепи се от Довара и си тръгна към къщи. Искаше и се да пее, искаше и се да тича.
staroplaninskilegendi_04_yovkov_0038|Едри звезди трептяха над черните покриви и сякаш и си усмихваха. Зад нея шумяха кориите.
staroplaninskilegendi_04_yovkov_0039|Чувала ги беше и други път, сега като че бяха бодри, мъжки гласове, които пееха.
staroplaninskilegendi_04_yovkov_0040|Това се случи в събота. Следният ден неделята, като всеки празник, мина с гайдите по хората, с блясъка на отлазените премени, със смеховете по чешмите. Дойде понеделник и селото утихна. Гремяха само станове, бръмчаха чекръци. Но ето рано-рано на бръдо на механата засвириха цигулки. Пиеше Василчо.
staroplaninskilegendi_04_yovkov_0041|И не беше мъчно да се разбере защо е уж весел, а очите му са гузни и натъжени. И защо като вдигне чашата си поглежда към къщата на Хаджи Вълка и остава тъй замислен.
staroplaninskilegendi_04_yovkov_0042|Ганаила беше върнала още едни световници.
staroplaninskilegendi_04_yovkov_0043|Понякога цегулките се отместиха от брадо, заглъхваха някъде из тесните сокаци, проечаваха ясно по мигданите.
staroplaninskilegendi_04_yovkov_0044|С разпуснати чепкени и сцеголарите пред себе си, Василчо минаваше покрай хаджи вълкови. Но портата си оставаше затворена. Доварите бяха високи като на крепост и по тъмните стъкла на прозорците не се повдигаше крайчицата нито на едно перде. Василчо се връщаше пак на механата. Тук под чердака, на който стоеше, беше къщата на Божура. Цял ден цигънката се толи в сянката на овошките и гледа през плета. Над вечер тя взе метлата и се залови да ме те държи.
staroplaninskilegendi_04_yovkov_0045|На масата пред Василча, между чашите с черно вино бяха сложени копи ябълки. Василчо взе една и я хвърли към Божура. Не можеа да я удари. Божура се престори на невидяла. Василчо хвърли втора ябълка и удари Божура по ръката. Гривните я извъняха и се посипаха по земята. Божура се изправи. И напразно тя искаше да се покаже сърдита. Смъка свиваше веждите си, смъка прогонваше веселия смях из очите си.
staroplaninskilegendi_04_yovkov_0046|И тя се обърна, метна косите си назад и забърза към къщи.
staroplaninskilegendi_04_yovkov_0047|Василчо гледаше как снагата й се превива и гъне в плавния й вървеш. И когато тя се изгуби, той вдигна чашата си.
staroplaninskilegendi_04_yovkov_0048|Цигуларите засвериха задумка гръмко тъпенът.
staroplaninskilegendi_04_yovkov_0049|От тогава насетне Василчо всеки ден беше на брадо, на механата. Някога му свиряхат си гулки, някога не. Но никога той не минаваше вече покрай къщата на Хаджи Вълка. Стоеше на чердака и гледаше все към двора на Божура.
staroplaninskilegendi_04_yovkov_0050|Дойде е, сън! Малко хубави дни за работа останаха и Божура, баща и майка й отидоха в гората.
staroplaninskilegendi_04_yovkov_0051|Баща изичеше осенови дървета за вратена, липови за копанки. Калуда, разчорлена и грозна като юда, ходеше по скалите, губеше се в усоите и събираше лековити корени. Имаше работа и за божура. Тя правеше питки от бяла пръст и ги сушеше на слънце. Събираше връщина.
staroplaninskilegendi_04_yovkov_0052|Всичко това е умръзна и по едно време, щом забелязачи не я виждат, изплъзна се и избяга.
staroplaninskilegendi_04_yovkov_0053|Излезе от гората, мина от един и абрякна реката на други и тръгна нагоре.
staroplaninskilegendi_04_yovkov_0054|Изпречиха се скали пред нея и тя се покътери по тях. Горе, навърха, тя се спря и се изправи.
staroplaninskilegendi_04_yovkov_0055|Пред нея голям като езеро, лъсна куков вир. Слънцето го огряваше и го разделяше на две. На една страна беше сянка, там водата беше зелена, подмолите се тъмнееха, а от бреговете надолу като черни змии се спущаха дълги корени.
staroplaninskilegendi_04_yovkov_0056|На скалата, гдето стоеше Божура, беше цяла огряна от слънце, водата под нея беше бяла, тиха и гладка като стъкло, като че нямаше дъно.
staroplaninskilegendi_04_yovkov_0057|В нея се виждаше и небето, и белите облаци.
staroplaninskilegendi_04_yovkov_0058|Божура слезе надолу, стигна до самия край на скалата, приседна на колене и се наведи.
staroplaninskilegendi_04_yovkov_0059|Във водата като огледало изплува образа ти, погледна я и си усмихна.
staroplaninskilegendi_04_yovkov_0060|Ето тайната й от няколко дни. Никога тя не беше се виждала тай добре. Беше се оглеждала понякога в прозорците на хаджи-вълковата къща, но и се струваше, че е черна като опушена с дим. По-черна може би, защото при нея стоеше Ганаила. А тука тя е сама. И е хубава. Ето каква била косата й, черна като зарната на бъз. А тия очи, а тая луничка под едното от тях. И по-хубава е когато се смее.
