050_vazov_000|The Adventure of the Snowing Globe by F. Anstey
050_vazov_409|"Like to take one of these chilling snowstorms, sir,"" continued the assistant, who seemed to be addressing me."
050_vazov_410|We're selling a great variety of them just now.
050_vazov_411|very suitable and acceptable present for a child, sir, and only a shilling in that size, though we have them larger in stock.
050_vazov_412|I bought the globe I had first taken up.
050_vazov_413|but I have not given it to my God child.
050_vazov_414|I prefer to keep it myself.
050_vazov_415|Of course, my adventure may have been merely a kind of daydream.
050_vazov_416|Though if so, it is rather odd that it should have taken that form, when even at night my dreams, on the rare occasion when I do dream, never turn upon such subjects as castles, princesses, or dragons.
050_vazov_417|A scientific friend to whom I related the experience pronounces it to be an ordinary case of auto-hypnotism induced by staring into a crystal globe for a prolonged period.
050_vazov_418|But I don't know. I cannot help thinking that there is something more in it than that.
050_vazov_419|I still gaze into the globe at times, when I am alone of an evening.
050_vazov_420|But while I have occasionally found myself back in the snowstorm again, I have never so far succeeded in getting into the castle.
050_vazov_421|Perhaps it is as well.
050_vazov_422|for, although I should not at all object to see something more of the princess,
050_vazov_423|She has most probably, thanks to my instrumentality, long since left the premises.
050_vazov_424|and I cannot say that I have any particular desire to meet the magician.
050_vazov_425|End of The Adventure of the Snowing Globe by F. Anstey
050_vazov_426|Read by Georgi Stoichev.
