zhetvariat_01_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ПЪРВА
zhetvariat_05_yovkov_0030|Откакто получи призовката си, Гроздан почна да се напива почти всеки ден. Умразата му към Вълчана се обърна на същинска болест, която глождаше и разяждаше душата му. Той стана мрачен, сприхъв и зъл. Правда не виждаше никъде, в добродетелие и съвест повече не вярваше. Невъздържан и буен, той беше готов да се скара с всеки, който му се изпречеше пред очи.
zhetvariat_05_yovkov_0031|По-заможните хората я виждаше черната и пъклина душа на Вълчана, по-бедните – страхливци, които се прекланят пред богатите.
zhetvariat_05_yovkov_0032|Той намрази всички. Но затой пък с тачката от ден на ден ставаха по-близки и по-неразделими. Лоша слава имаше тачката. Говоряха, че преди няколко години той бил в числото на оная шайка, която беше обрала един руски манастир при устието на Дунава. Обир, предружен с инквизиторски мъки и с убийства.
zhetvariat_05_yovkov_0033|Тачката изглеждаше гузен и нищо не работеше. Подир груздана той вървеше като сянката му. И от тая двойка, където отчаянието и буйната смелост на единия се съчетаваше с лукавата престъпност на другия, нозина почнаха да се буят и предпазват.
zhetvariat_05_yovkov_0034|Крайна глава 5
zhetvariat_05_yovkov_0035|Този запис е обществено достояние.
zhetvariat_06_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ШЕСТА
zhetvariat_06_yovkov_0001|Записано за LibriVox.org
zhetvariat_06_yovkov_0002|Житварят. Повест от Юрдан Йовков. Глава 6.
zhetvariat_06_yovkov_0003|Кръчмата Гроздам все пак намиреше другари, особено из междупобедните селени. А Евлюликово беше весело през тия дни и то не зарад друго, а защото такъв е отредението от Бога живот за селата. Почнеше ли зимата, почваха се и веселбите.
zhetvariat_06_yovkov_0004|Това лято плодородието беше добро. При хубаво време и обилна влага се превършваха и ясените си идби. Семето беше заровено в земята и наедно с него никниха надежди и за друго, може би още по-голямо плодородие. Хората бяха доволни. Наистина селската работа, както казват, никога не се свършва, имаше я и сега, но в сравнение с усилния и тежък труд през лятото тя изглеждаше спорна и лека като игра.
zhetvariat_06_yovkov_0005|Можеше и те работа да се види и докръчмата да се излезе.
zhetvariat_06_yovkov_0006|Появяването на дяда Нетка в Люляково даде нов тласък на това непрекъснато веселие. Дядо Нетко беше от Люляково, но не беше си дохаждал отдавна. Мъкътът за родния кът от една страна и приятелството му към къня, който между кръчмарите беше прочуд, че държи хубаво вино, бяха го довели в село. Той беше вече стар човек, нисичък и куц, с изпито жълто лице, с подстригани бели мустаци и остра бяла брадичка. Една черна кърпа обвиваше всякога шията му чак до подбрад
zhetvariat_06_yovkov_0007|С голяма любов и на божно увлечение беше писал той някога иконите си. Те още красеха иконостасите на много селски и градски черкви.
zhetvariat_06_yovkov_0008|Новото време, което разори не един занаят, не пощади и неговия. Появиха се нови, учени майстори, някогашната благотворителност изчезна, сърцата на хората изстинаха към вярата и към черквите, никой вече не му поръчваше икони.
zhetvariat_06_yovkov_0009|Заредиха се и семейни нещастия. Помина се жена му, децата му излязоха неблагодарни, напуснаха го и се разпиляха по света. Дядо Нетко остана сам, обедня, отчая се и в Бога и в хората, напусна старото си изкуство и се пропи.
zhetvariat_06_yovkov_0010|Той не захвърли четката, но на место икони, рисуваше сега фирми, завеси за селски театри, бойдисваше къщи, украсяваше с патриотични картини дъната на новите каруци, нещо на мода тогава.
zhetvariat_06_yovkov_0011|От предишното смирение, душевна чистота и благонравие на Божи служител, у него нищо не беше останало. Обезверен, с измъчена и ожесточена душа, той беше се превърнал в лекомислен и порочен човек, разюздан и смахнат бъбрица.
zhetvariat_06_yovkov_0012|Трудът не го радваше вече, изкуството не го увличаше. Пазаше Ерминията, това необходимо за всеки иконописец-ръководство, но никога не я разлистваше.
zhetvariat_06_yovkov_0013|Помнеше също тъй и житята на светците, но той не черпеше вече от тях теми и вдъхновения, както някога, а най-бесрамно ги прииначаваше и разказваше анекдоти, от които дори и стари хора си червяха.
zhetvariat_06_yovkov_0014|Но лицето му се оставаше лице на посник и каквото и да говореше, сам почти никога не се засмиваше.
zhetvariat_06_yovkov_0015|Дядо Нетко се застояв ляково и не мислеше да си ходи. Той поиска да се отплати на Къня за гостоприемството и преди всичко направи нова фирма на кръчмата му. Вместо предишните разкривени букви, които Кънь особственно ръчно беше чертал, той нарисува нови и хубави. Средата на табелата е една ръка, държеше шеше вино и пълнеше чаши, наредени на поднос, държаното друга, същота е отсечена до лакът и ръка.
zhetvariat_06_yovkov_0016|Той е надпис, кръчмата на Къни неочаквано беше наречена кръчма Оспокоение. Мнозина като дигаха очи и прочитаха той надпис, питаха Къни какво значи това.
zhetvariat_06_yovkov_0017|Къньо се позасмиваше и посочваше с очи дяда Нетка. Той да каже, той го измисли.
zhetvariat_06_yovkov_0018|Успокоение? Какво успокоение, дядо Нетко? Хората ще се избият тук, а ти... Успокоение!
zhetvariat_06_yovkov_0019|Понякога дядо Нетко не отговаряше, понякога казваше. Който има ум, ще разбере. Виното е лек. Виното успокоява повече от молитвата. Вино е имало и на тайната вечеря. Вино са дали и на Христа на кръста. Не вино, а оцет. Е, то ще е било като виното на къня. Кисело за вино, слабо за оцет. Не те е срам. Сърдеше се къньо, пиеш вино, каквото не си санувал, и пак не си благодарен.
zhetvariat_06_yovkov_0020|Селените се смееха. По лицето на дяда Нетка не трепваше нито мускул.
zhetvariat_06_yovkov_0021|Дядо Нетко украси и вътрешността на кръчмата, препоеди с стените, нарисува по тях плетеници от лозови листа и гроздове, също такива каквито беше рисувал по черковните фризи. Освен той, средата на всяка стена нарисува по една саксия с цветя, много хубави, много живи. Украси и тезгяха.
zhetvariat_06_yovkov_0022|От всичко това Къньо беше толкова с много доволен, че с най-голяма щедрост продължи на нова страница в тевтери си с метката на дяда Нетка.
zhetvariat_06_yovkov_0023|Наскоро след това Дядо Нетко се поомири и съвсем се уедини в стаята, където живееше. Тая стая, наричана от селените Тайната стаечка, служеше за място, където посетителите на кръчмата можеха да си кажат нещо скрито или да хапнат и да пийнат, без да бъдат стеснявани от чужди погледи.
zhetvariat_06_yovkov_0024|Към някой беше дал тая стаячка на дяда Нетка, като продължаваше да служи и на предишното си предназначение.
zhetvariat_06_yovkov_0025|Дядо Нетко излизаше сега от стаичката си само да се нахрани. Той и не пиеше, защото гроздани тачката бяха липсали някъде. Като го гледаше да излиза, тъй замислен, съсредоточен в себе си, мъдър, при това цял изцапан с боя, Къньо мислише, че дядо Нетко се е заловил пак за стария си занаяд.
zhetvariat_06_yovkov_0026|Веднъж го попита. — Какво правиш? Икона ли пишеш? — Икона пиша. Кротко отговори дядо Нетко.
zhetvariat_06_yovkov_0027|Една сутрин в кръчмата дойдоха Гроздан и тачката, след тях и Радулов. — Къде е дядо Нетко Каню? — попита Гроздан. — Стаята е там, икона пише. — Икона ли?
zhetvariat_06_yovkov_0028|И тримата минаха в стаята на дяда Нетка. След малко от там се чу такава глъчка, такъв смях, че сам Къни отиде да види какво има. Още на вратата той се спря смаян.
zhetvariat_06_yovkov_0029|Цялата насрещна стена, тая на която падаше светлината от прозореца, беше изписана с голяма картина.
zhetvariat_06_yovkov_0030|И каква картина?
zhetvariat_06_yovkov_0031|Под голямо дърво на сянка седи някакъв юнак в селски дрехи, охранен, червен далист, с засукани мустаци.
zhetvariat_06_yovkov_0032|Три жени като три самодиви идат към него и носят коя вино, коя ядене. С ръка на единия си мостак, ионакът се усмихва, заглядън не в яденето, а в самите жени, всички полуголи, развилнели от похот и безсрамие.
zhetvariat_06_yovkov_0033|Няколко минути Кънь озяпнал, гледа картината и дори наедно с другите се засмя.
zhetvariat_06_yovkov_0034|Незведнъжто е кипна и завика на дяда Нетка.
zhetvariat_06_yovkov_0035|Къньо разбра какво ще става и макар да беше още съредит, излезе да изпълни поръчката. Компанията насяда около масата. Все още гледаха картината, правеха разни бележки и се смеяха.
zhetvariat_06_yovkov_0036|Икона иска да му пиша, мърбореше дядо Нетко. А то и що е? Не е ли икона? Ох, мали, и още каква? Засмя се тачката.
zhetvariat_06_yovkov_0037|След първата чаша Дядо Нетко се развесели и тъй като Къньо беше го охапал, той още не можеше да му прости.
zhetvariat_06_yovkov_0038|Слушайте какво ще ви кажа, започна той. Икона ли? Светци ли? Колко съм ги писал? Помогнал ли ми я някой? Не.
zhetvariat_06_yovkov_0039|Помогни си сам да ти помогне Господ, рече Радулов. Слушайте какво ще ви кажа, продължи дядо Нетко. Един казах отишъл веднъж да краде коне. Имал той една иконка на шията си, на святи Никола, и взел да ѝ се моли. Святи Николай, помогни ми да открадна едно конче. Добре, ама святи Николай не му помогнал. Тогава казахът взел, че вързал иконата на кръка си да се влачи и рекал на святи Николай, не ми помогна, рекал, да открадна кон.
zhetvariat_06_yovkov_0040|Смехът, който избухна сред компанията, посрещна Къня. Той не разбра защо е измръщи вежди. Гроздан поръча ново кило.
zhetvariat_06_yovkov_0041|Скоро картината на дяда Нетка възбуди такъв интерес, какъвто Къньо не очакваше. Всички почнаха да се изпреварват в стаичката и да се трупват със същото любопитство, както правеха това, когато влизаха в някоя панорама на панеира.
zhetvariat_06_yovkov_0042|Застояваха се там, веселяха се и пиеха с още по-голямо увлечение, като че присъствието на полуголи жени по стените предаваше нещо от тия запретени и неизпитени удоволствия, за които бяха само чували.
zhetvariat_06_yovkov_0043|Къньос хвана, че от всичко това той може да има добра печалба и се остави от намерението си да погуби картината. Дядо Нетко стана нещо като антрепренер на панорамата. Той не излизаше от стаичката и пиеше там с всички.
zhetvariat_06_yovkov_0044|Настъпи зимата. Отначало духаха само студени ветрове. Земята замръзна, не можеше повече да се оре и всички плугове се завърнаха. Полето опустя. Два-три дни след това непрекъснато валя сняг. Пътищата се затвориха. Животът се прибра и се средоточи вътре в селото. Дебелият сняг беше сигурна и топла завивка, върлена от самата природа върху нежния кълн на сейдбите. Дебел сняг, голям комат, говориха си селените и плътни са.
zhetvariat_06_yovkov_0045|Зарядиха се дни на безделица и на почивка. Ако имаше някаква работа, това бяха само грижите около добитъка. Заснежените поляни край селото се изпъстриха с жълти и черни петна, останали от сеното и кърмата на овцете.
zhetvariat_06_yovkov_0046|Хергелетата и Яловината свободно се скитаха денем из оградите, идяха с ламата до насита направо от съплъците, дълбаяха ги постепенно и правяха в тях същински пещери.
zhetvariat_06_yovkov_0047|Но с най-голямо внимание и грижа беше заобиколен работният добитък, особено въловете. Те имаха удобства, каквито липсваха дори на хората. Оборите бяха топли и чисти. На животните се приготвяше суха постилка от овче Тори Мекина, сменява на всеки ден. Храняха се с чисто сено, пояха се с кладенчу във вода. Гледаха ги с една почти религиозна почет.
zhetvariat_06_yovkov_0048|Наближаваше пролетта и всичкият труд и всичките надежди се възлагаха на тях.
zhetvariat_06_yovkov_0049|Работата беше малко, търсеха се повече развлечения. Младите прекарваха дозори по седенките, по-старите в кръчмата. Мнозина се занимаваха с лов, правяха капани и ловяха яребици. Ходяха и за лисици. Намираха дубките им, запалваха малко слама в тях. Разкопаваха ги след това и хитрите животни падаха в ръцете им живи, с цели и здрави кожи, червени като пламък.
zhetvariat_06_yovkov_0050|Имаше и такива мечтатели, които се впущаха и в по-големи и фантастични предприятия. Подмамени от едно старо предание, че крилете на дроплите замръзвали от студа и поледицата, те се скитаха из полето в най-големите виелици, уверени, че ще върхлетат на замръзналите птици големи като мисирки и ще ги подкарат пред себе си като стадо. Нищо подобно, разбира се, не се случваше. Ставаше нужда само с отчаяни разтривки и сгорещи тухли да съживяват самите ловци.
zhetvariat_06_yovkov_0051|Дойдоха коледните празници, заредиха се годежи и сватби. С каруци и коне из селото препускаха сватбари, окичени с чемшири пуканки, с бели дарове, завити като гъжва около главите им или прехвърлени през рамо. Много вино се изпиваше в къщите, а още повече в кръчмата, пред които каруците стояха с часове и за да не замръзнат конете, час по час правеха лудежки волти наоколо. Но и празниците и сватбите се свършваха, а снегът все още си беше.
zhetvariat_06_yovkov_0052|Всеки ден сега, както и по-рано ставаха веселби в кръчмата на Къня. Почваха се все случайно, без някой особен повод. И освен голямата навалица в самата кръчма, всякога имаше някой от делна компания, която се затваряше в тайната стаечка на дяда Нетка и въпреки всички молби и настоявания никому не я отстъпваше.
zhetvariat_06_yovkov_0053|Надпреварваха се и караха се кой първи да я заеме. По-често от всички други там прекарваше гроздан с другарите си.
zhetvariat_06_yovkov_0054|Това беше непрекъснато пиянство, придружено, често скрамоли и побойща. По-старите и по-умерените хора се сепнаха и загрижиха. Дружеството издигна гласа си против тая страшна напаст. Младият поп доч одържа огнено слово от амвона на черквата.
zhetvariat_06_yovkov_0055|Той говори за седемте смъртни гряха и за най-тежки от тях – пиянството. Уния, които най-много се бяха увлекли и провинили, бяха съветвани общо от роднини и близки. Увещаваха ги и ги моляха да се оставят от гибелния път, като ги заплашваха с участа на Гроздана, Тачката и Дядо Нетко. Три мъдуши безвъзвратно загинали според тях от леност и пиянство.
zhetvariat_06_yovkov_0056|Крайна глава, шеста.
zhetvariat_06_yovkov_0057|Този запис е обществено достояние.
zhetvariat_07_yovkov_0000|ЖЕТВАРЕТ, глава 7
zhetvariat_07_yovkov_0001|Записано за LibriVox.org
zhetvariat_07_yovkov_0002|ЖЕТВАРЕТ ПОВЕСТОТЬ ОРДАНЬОВКОВ Глава VII
zhetvariat_07_yovkov_0003|В началото на февруари, след като три дни и три нощи валя сняк с вятър, с виелици, настъпило нова време, което селените наричат Капан. Пътищата бяха затрупани, вън от селото не можеше да излезе ни човек, ни добитък. Всеки трябваше да стои там, гдето се беше уловил.
zhetvariat_07_yovkov_0004|В Лилюково бяха се случили два мътърговци-вълнари, които както всяка година бяха дошли да заобикалят утра на овчарите, да им дадат пари и да купят вълната, както се казва на зелено.
zhetvariat_07_yovkov_0005|Докато траеше фартуната, търговците ядяха и пиеха в стаичката на Къневата кръчма, отначало с овчарите, после само с грозда на тачката и дяда Нетка.
zhetvariat_07_yovkov_0006|Штом като времето се пооправи, вълнарите тръгнаха за близкото село Бистрица, но станат тъй, както им казаха селяните. Не можаха да пробият партина из снега и се върнаха. Пак ядоха и пиха и над вечер, разгорещени от виното, недоволни още повече от селото, което тоя път не ги посрещна добре, търговците взеха друга шейна с още по-яки коне и пак тръгнаха за Бистрица.
zhetvariat_07_yovkov_0007|Мина се два-три часа и повече, беше вече късно през нощта, а Гроздан, Тачката и Дядо Нетко още стояха в стаичката и не губиха надежда, че търговците пак може да се върнат. И тримата бяха пияни, особено Дядо Нетко. Масата пред тях беше отрупана с чинии и чаши, с оглозгани кости и трухи.
zhetvariat_07_yovkov_0008|Под мъжделивата светлина на лампата се усмихваха трите хубавици от картината на дядо Нетко. Останалата част беше в сянка и не се виждаше.
zhetvariat_07_yovkov_0009|Някой за тропа вън пред вратата оттърсваше се от снега. Гроздан, тачката идя до нетко и тримата с чаши в ръка се спогледаха. Майче идат, прошепна тачката.
zhetvariat_07_yovkov_0010|Вратата се отвори и влезе монката. Тачката се намръщи. Уф, монка, ти ли си? Аз пък рекох, че са вълнарите. Кои вълнари? Търговците. Какви търговци? Ех и ти, ти нищо не знаеш.
zhetvariat_07_yovkov_0011|Груздан напълни една чаша и я подаде на Монката. — Пий, Монка, едно вино. Къде си бил? — На долната кръчма. Там чорбаджата се събрали. И Вълчан беше там. — Е, какво казва Вълчан? — попита Груздан, всете изпокоени усмихнат. — Какво ще каже? Все с тебе се еде, не го ли знаеш?
zhetvariat_07_yovkov_0012|Онката изпи виното, поутърси потурите си от снега и продължи. Много сняка, ей! И пътеки няма, трябва да газиш направо. Хм, Вълчан. Слушах го, слушах, пък рекох. Бе бай, Вълчан, рекох. Защо не се помирите с Груздана? Оставете, рекох, тая мараза. А той? Като кипна, като скочи. Аз, твоя приятел ли кай? Аз кай ще го накарам да гледа, ей, тъй е!
zhetvariat_07_yovkov_0013|Мунгата разпере пръсти пред ушите си, което значеше, че Вълчан ще тури грозда на в затвора и ще го накара да гледа тъй през желязната решетка на прозорците.
zhetvariat_07_yovkov_0014|Друго какво каза? Се той! Аз кай ще го науча него, ще го прати да чука камъни на пътя. Брей! Каза Груздани си усмихна.
zhetvariat_07_yovkov_0015|Монката го гледаше очуден. Груздан беше спокоен. На хубавото му лице нямаше ни една бръчка на гняв. Само перчанът му, паднал въз челото, беше много разбъркан и очите му горяха, но то ще дай е от виното. Сребърната му обеца на едното му охола, щеше от светлината на лампата и Монката спря очи на нея, като че я виждаше за пръви път.
zhetvariat_07_yovkov_0016|Чакай! И друго каза Вълчан. Рече монката и се засмя. Добре ви е, син Кай, но си обеца на охото си я. Аз, Кай, ще му закача още една, да ме помни.
zhetvariat_07_yovkov_0017|Роздам поклад и глевай се усмихна.
zhetvariat_07_yovkov_0018|Ах, той е вълчан, той е вълчан! Провикна се тачката. Аз му знам, не му цера, ама айде. Да зе, ма аз... Не, не, аз нищо не знам, нищо не казвам, сакън! И като смигна на монката, той закри устата си, щепа и зави като вълк.
zhetvariat_07_yovkov_0019|Монката се засмя, обърна се и потърси с очи дяда Нетка. Иконописъцът беше полегнал на одара, тък му под картината си изпеше. «Аз да си ходя», каза Монката и стана. Гроздан се опита да го спре. «Стой, Монка, защо бързаш?» «А, късно е, ще си ходя». «Иди си, Монка, иди си! Вълци има!» Закиска се тачката и пак зави като вълк.
zhetvariat_07_yovkov_0020|Яна разлавай кучетата, каза момката и излезе.
zhetvariat_07_yovkov_0021|Гроздан и тачката останаха сами. Дядо Нетко спеше. Тачката се опита да заговори нещо, но Гроздан не го слушаше. Тогава той подпря глава на ръката си, загледа се през прозореца и зата наника дрезгаво, грозно.
zhetvariat_07_yovkov_0022|Гроздан пушеше и напрегнато мислеше нещо.
zhetvariat_07_yovkov_0023|Преди няколко време той беше ходил в града и адвокатът беше му казал, че ако не се съберат доказателства и не се намерят сигурни свидетели, делото е изгубено. Ето защо Вълчан ставаше дързък.
zhetvariat_07_yovkov_0024|Да ми вземе нивите ли? – мислиша си гроздан. – Аз ръцете му ще струша.
zhetvariat_07_yovkov_0025|Той пушеше, мислеше, лицето му като че се вкаменяваше, а очите му горяха.
zhetvariat_07_yovkov_0026|Изведнъж Гроздан стана и се огледа. Дядо Нетко хъркаше, тачката беше отпуснал глава на масата и също спеше. Тихо, напрасти, като се пазеше да не направи най-малкия шум Гроздан излезе, затвори вратата след себе си, после всета и тихо отиде и надникне в кръчмата. Там нямаше никой. Къньор едеше кюмюр под гюма. Гроздан знаеше ряда на работата му всяка вечер, след малко той щеше да приброи парите си, да запише нещо в тефтери,
zhetvariat_07_yovkov_0027|Бързо и колкото се може по-тихо, Груздан излезе през задната врата в двора на Къньо, а от там на улицата.
zhetvariat_07_yovkov_0028|Той не се забави твърде много и се върна по същия път.
zhetvariat_07_yovkov_0029|Но когато притваряше вратата на стаячката, тачката подигна глава, погледна го с мътни сънливи очи и каза, «А, къде си ходил?» «Никъде не съм ходил», рече Груздан.
zhetvariat_07_yovkov_0030|Но тачката не го и чуи и пак сложи глава на масата.
zhetvariat_07_yovkov_0031|Гроздан дойде до прозореца и погледна навън.
zhetvariat_07_yovkov_0032|Отначало нищо не се виждаше. След туй отляво и от дясно се бял на снегът, а по средата се чернееха върбите край реката и увошките в градините. Нищо друго не се виждаше. Селото спеше.
zhetvariat_07_yovkov_0033|Мина се някое време. Изведнъж над черните клони на дърветата, преплетени като мрежа, блесна нещо като светкавица. След туй, още два-три такива блясъци и веднага след тях се разгоря широко сияние. Заизхвърчаха искри. Лизнаха нагоре в тъмнината пламъци.
zhetvariat_07_yovkov_0034|Гроздан се отдръпна от прозорица и започна да си прави цигара. Ръцете му трепереха.
zhetvariat_07_yovkov_0035|Изведнъж пукна пушка, след нея друга. Стъклото на прозореца доскоро тъмно, сега пламна, огнено-червено.
zhetvariat_07_yovkov_0036|Гръмежите зачастиха тревожно и бързо забит сърковната камбана.
zhetvariat_07_yovkov_0037|— Какво има? — попита тачката. Вънзичо гласът на Къня. — Къде е? Какво гори?
zhetvariat_07_yovkov_0038|Някой му отговори, но не може да се чуе.
zhetvariat_07_yovkov_0039|Изведнъж встае да се вторна къньо и я извика. Пожар! Съплъците на вълчана горят!
zhetvariat_07_yovkov_0040|Съплъците на вълчана ли? Каза тачката и едва м сега забеляза огненото зарево в прозорица. Бре, че то голям огън бе! Съплъците на вълчана, а? Ох, мамо!
zhetvariat_07_yovkov_0041|Къньо беше излязъл. Тачката срещна погледа на Груздана, оторачи се в него, след то и се позасмяло каво започна да се чеше под малкото си кълпаче и каза, «Хм, ти затои ли излиза?» «Кога съм излизал? Не съм излизал аз!» Сопното му отварна Груздан. «Еде, не бой се, от мене дума не излиза!» Засмя се тачката и като се загледа в пламналия прозорец добави, «Ох, мамо, гори, гори!»
zhetvariat_07_yovkov_0042|Вънзичо гласът на нея е кокмета. Защо никой не излиза от та смахала? Искат да изгоре цялото село ли? Кои са тука?
zhetvariat_07_yovkov_0043|Навярно кънь му пришепна нещо, защото и ней коснеше гласа си. Но Гроздан беше до вратата и чу как нейко каза. Гроздан ли? Той все тук ли беше? Не е ли излизал?
zhetvariat_07_yovkov_0044|Не е излизал, а закъню.
zhetvariat_07_yovkov_0045|Когато гроздани тачката тръгнаха да се отиват вън беше видело като денем. Над черните клони на овошките се люлеяха, като то се огъваха, то се издигаха нагоре големи пламъци. Широко сияние трептеше и разделяше нощта на две. Отвъд пожара беше тъмна, черна стена, а от сам беше светло. По снега лъщяха червени блясъци, върчаха искри и черни вълма дим се носеха на юг, гонени от вятъра като подплашено стадо.
zhetvariat_07_yovkov_0046|Чуваше се страшна глъчка. Кучетата на цяло се елолаеха.
zhetvariat_07_yovkov_0047|Край на глава 7. Този запис е обществено достояние.
zhetvariat_08_yovkov_0000|Житварят глава 8. Записано за LibriVox.org
zhetvariat_08_yovkov_0001|Житварят повестватюрда Ниовков глава 8
zhetvariat_08_yovkov_0002|Дойде най-после пролетта. Дойде някак изведнъж и нечакано. Последни веялици, както всякога имаше, но те стихват скоро. Изгрява слънце. Небето се усмихва ясно и синьо като никога. Ослепително блещи снегът. Лъчи и светлина се къпи всичко. Стопля се. От стрехите започва да пада сняг. Къпчуците закапват. Вратци се трупат на припек по плетищата и дигат весела врява. От час на час става по-топло.
zhetvariat_08_yovkov_0003|Чувства се присъствието на нещо ново, бодро и животворно.
zhetvariat_08_yovkov_0004|Синият дим на кумините се стеля надолу и бяга на север. Овошките поклащат мокрите си клони. Тихо и замислено прошумяват, потръпнали сякаш в сладки сънища.
zhetvariat_08_yovkov_0005|Подухва вятър. Той е мек и приятен като милувка. Иде откъм юг. Топа ли?
zhetvariat_08_yovkov_0006|Това е Лодосът, могълщият пред течена пролетта.
zhetvariat_08_yovkov_0007|Слънцето засяда, кърваво пятно в оловината маса на облаците. Ни дъжд, ни сняг ще вали. Тия облаци са високи, тънки и тук там през тях успява да наникне някоя звезда. На запад месецът извива тънкия си сърб. Топло е, както през деня.
zhetvariat_08_yovkov_0008|Лодосът не подухва, без не е вече. Почив клоните на увожките, свирев разтрозите на прозорците, бочив комините, руква вода от стрехите и капчуците, сякаш барабани отмерено и гръмко бият тръжествен някой марш.
zhetvariat_08_yovkov_0009|Нещо иде, приближава се, върви по всички посоки и по всички пътища.
zhetvariat_08_yovkov_0010|Иде пролетта. Иде с безбройното си пъстро воинство, весело, шумно, жизнерадостно.
zhetvariat_08_yovkov_0011|Иде всичко това, което ще насели горил, сои и полета.
zhetvariat_08_yovkov_0012|Въседна ли едри шарени коне в златолуспести брони? Не пристъпват ли огнени змейове по ели път към тъмни пещери? Зелено оки юди не препускат ли насурелени? Несе ли развяват разбърканите им гуси и бичовите им, изплетени от зми и не съскат ли из вятъра?
zhetvariat_08_yovkov_0013|Млечно бяла мъгла се носи над полето, едва могряна от сърпъна месеца. Заловени в несключено хоро, не са ли леки самодиви? Не техните ли песни отекват и звучат в романа на хилядите потоци?
zhetvariat_08_yovkov_0014|Лодусът се усилва все повече.
zhetvariat_08_yovkov_0015|Това е вече буря, което без не е луми, събаря.
zhetvariat_08_yovkov_0016|Стая буря и не пролета.
zhetvariat_08_yovkov_0017|Тя идёт към Юг.
zhetvariat_08_yovkov_0018|На тая страна небето е ясно и свети като широко разкрити двери.
zhetvariat_08_yovkov_0019|Чудото се извършва всякъж в една само нощ.
zhetvariat_08_yovkov_0020|Редят се понататък ясни дни, спокойни и тихи. Снега го няма вече. Туктаме се белее нещо, но изведнъж не може да се познае дали е някой закъсняла пряспа или пък кукичета се нацъвте ли.
zhetvariat_08_yovkov_0021|Земята е суха, лодосът не прекратява огнедежищите си пориви. Млади кълнове пробождат рогкавата пръст, овощките изпъват с наслада клоните си в топлия въздух, пъпките им набъбват и се разпукват.
zhetvariat_08_yovkov_0022|Около първите цветове на сливите брамчат пчели.
zhetvariat_08_yovkov_0023|Една сутрин през тия дни Нейко кметът не можа да се здържи в къща и излезе да пообиколи из полето. Почнали се бяха пролетните си идби. Ободрен от хубавото време, Нейко върви бързо, поглежда насам, поглежда нататък. Рано е. Слънцето току-що беше изгряло, а колята на сиячите накацали по нивите като птици. Тук върволи цъволове. Погребена на някой, баирите се виждат пригрбени като кости нурки. Бавно и тежко влачат плуг.
zhetvariat_08_yovkov_0024|Всичко се вижда като на длан. Широко поле, равно поле. Да викнеш, кой знае докъде ще те чуят.
zhetvariat_08_yovkov_0025|И още тихо, а не...
zhetvariat_08_yovkov_0026|Нейко се спира, снема кълпака си за да си избърши потта и гледа нагоре. Где са тия чучолиги? Колко са?
zhetvariat_08_yovkov_0027|Нищо не се вижда, цялото небе кантира си дъжд от песни. Нейко тръгва пак, но едва м направил няколко крачки и отново се спира. Хо-хо, викат някъде далеч. Хо-хо, отзовават се други.
zhetvariat_08_yovkov_0028|Ето припускат нататък и конници. Дигна ли се някой вълк, мисля се някой се усмихва.
